timestamp,rmssd,coverage,low_frequency,high_frequency
2021-11-28T11:15:00,22.411,0.917,911.608,110.122
2021-11-28T11:20:00,20.197,0.941,495.375,93.29
2021-11-28T11:25:00,21.225,0.879,916.847,80.096
2021-11-28T11:30:00,24.093,0.93,851.974,192.724
2021-11-28T11:35:00,25.147,0.973,986.242,172.022
2021-11-28T11:40:00,27.493,0.886,507.887,215.271
2021-11-28T11:45:00,24.042,0.893,905.357,60.382
2021-11-28T11:50:00,23.809,0.992,795.808,96.331
2021-11-28T11:55:00,29.665,0.928,1221.692,138.071
2021-11-28T12:00:00,33.946,0.927,1587.66,171.036
2021-11-28T12:05:00,35.732,0.703,954.586,287.779
2021-11-28T12:25:00,27.08,0.929,928,239.98
